emoji,desc,unicode
👨🏻‍🏫,Professore Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F3EB
👨🏼‍🏫,Professore Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F3EB
👨🏽‍🏫,Professore Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F3EB
👨🏾‍🏫,Professore Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F3EB
👨🏿‍🏫,Professore Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F3EB
👩‍🏫,Professoressa,U+1F469 U+200D U+1F3EB
👩🏻‍🏫,Professoressa Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F3EB
👩🏼‍🏫,Professoressa Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F3EB
👩🏽‍🏫,Professoressa Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F3EB
👩🏾‍🏫,Professoressa Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F3EB
👩🏿‍🏫,Professoressa Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F3EB
🧑‍⚖️,Giudice,U+1F9D1 U+200D U+2696 U+FE0F
🧑🏻‍⚖️,Giudice Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+2696 U+FE0F
🧑🏼‍⚖️,Giudice Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+2696 U+FE0F
🧑🏽‍⚖️,Giudice Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+2696 U+FE0F
🧑🏾‍⚖️,Giudice Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+2696 U+FE0F
🧑🏿‍⚖️,Giudice Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+2696 U+FE0F
👨‍⚖️,Giudice Uomo,U+1F468 U+200D U+2696 U+FE0F
👨🏻‍⚖️,Giudice Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+2696 U+FE0F
👨🏼‍⚖️,Giudice Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+2696 U+FE0F
👨🏽‍⚖️,Giudice Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+2696 U+FE0F
👨🏾‍⚖️,Giudice Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+2696 U+FE0F
👨🏿‍⚖️,Giudice Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+2696 U+FE0F
👩‍⚖️,Giudice Donna,U+1F469 U+200D U+2696 U+FE0F
👩🏻‍⚖️,Giudice Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+2696 U+FE0F
👩🏼‍⚖️,Giudice Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+2696 U+FE0F
👩🏽‍⚖️,Giudice Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+2696 U+FE0F
👩🏾‍⚖️,Giudice Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+2696 U+FE0F
👩🏿‍⚖️,Giudice Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+2696 U+FE0F
🧑‍🌾,Agricoltore,U+1F9D1 U+200D U+1F33E
🧑🏻‍🌾,Agricoltore Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F33E
🧑🏼‍🌾,Agricoltore Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F33E
🧑🏽‍🌾,Agricoltore Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F33E
🧑🏾‍🌾,Agricoltore Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F33E
🧑🏿‍🌾,Agricoltore Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F33E
👨‍🌾,Contadino,U+1F468 U+200D U+1F33E
👨🏻‍🌾,Contadino Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F33E
👨🏼‍🌾,Contadino Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F33E
👨🏽‍🌾,Contadino Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F33E
👨🏾‍🌾,Contadino Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F33E
👨🏿‍🌾,Contadino Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F33E
👩‍🌾,Contadina,U+1F469 U+200D U+1F33E
👩🏻‍🌾,Contadina Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F33E
👩🏼‍🌾,Contadina Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F33E
👩🏽‍🌾,Contadina Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F33E
👩🏾‍🌾,Contadina Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F33E
👩🏿‍🌾,Contadina Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F33E
🧑‍🍳,Persona Che Cucina,U+1F9D1 U+200D U+1F373
🧑🏻‍🍳,Persona Che Cucina Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F373
🧑🏼‍🍳,Persona Che Cucina Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F373
🧑🏽‍🍳,Persona Che Cucina Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F373
🧑🏾‍🍳,Persona Che Cucina Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F373
🧑🏿‍🍳,Persona Che Cucina Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F373
👨‍🍳,Cuoco,U+1F468 U+200D U+1F373
👨🏻‍🍳,Cuoco Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F373
👨🏼‍🍳,Cuoco Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F373
👨🏽‍🍳,Cuoco Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F373
👨🏾‍🍳,Cuoco Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F373
👨🏿‍🍳,Cuoco Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F373
👩‍🍳,Cuoca,U+1F469 U+200D U+1F373
👩🏻‍🍳,Cuoca Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F373
👩🏼‍🍳,Cuoca Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F373
👩🏽‍🍳,Cuoca Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F373
👩🏾‍🍳,Cuoca Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F373
👩🏿‍🍳,Cuoca Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F373
🧑‍🔧,Meccanico,U+1F9D1 U+200D U+1F527
🧑🏻‍🔧,Meccanico Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F527
🧑🏼‍🔧,Meccanico Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F527
🧑🏽‍🔧,Meccanico Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F527
🧑🏾‍🔧,Meccanico Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F527
🧑🏿‍🔧,Meccanico Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F527
👨‍🔧,Meccanico Uomo,U+1F468 U+200D U+1F527
👨🏻‍🔧,Meccanico Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F527
👨🏼‍🔧,Meccanico Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F527
👨🏽‍🔧,Meccanico Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F527
👨🏾‍🔧,Meccanico Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F527
👨🏿‍🔧,Meccanico Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F527
👩‍🔧,Meccanico Donna,U+1F469 U+200D U+1F527
👩🏻‍🔧,Meccanico Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F527
👩🏼‍🔧,Meccanico Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F527
👩🏽‍🔧,Meccanico Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F527
👩🏾‍🔧,Meccanico Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F527
👩🏿‍🔧,Meccanico Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F527
🧑‍🏭,Persona Che Lavora In Fabbrica,U+1F9D1 U+200D U+1F3ED
🧑🏻‍🏭,Persona Che Lavora In Fabbrica Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F3ED
🧑🏼‍🏭,Persona Che Lavora In Fabbrica Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F3ED
🧑🏽‍🏭,Persona Che Lavora In Fabbrica Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F3ED
🧑🏾‍🏭,Persona Che Lavora In Fabbrica Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F3ED
🧑🏿‍🏭,Persona Che Lavora In Fabbrica Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F3ED
👨‍🏭,Operaio,U+1F468 U+200D U+1F3ED
👨🏻‍🏭,Operaio Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F3ED
👨🏼‍🏭,Operaio Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F3ED
👨🏽‍🏭,Operaio Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F3ED
👨🏾‍🏭,Operaio Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F3ED
👨🏿‍🏭,Operaio Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F3ED
👩‍🏭,Operaia,U+1F469 U+200D U+1F3ED
👩🏻‍🏭,Operaia Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F3ED
👩🏼‍🏭,Operaia Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F3ED
👩🏽‍🏭,Operaia Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F3ED
👩🏾‍🏭,Operaia Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F3ED
👩🏿‍🏭,Operaia Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F3ED
🧑‍💼,Persona Che Fa Un Lavoro D’ufficio,U+1F9D1 U+200D U+1F4BC
🧑🏻‍💼,Persona Che Fa Un Lavoro D’ufficio Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F4BC
🧑🏼‍💼,Persona Che Fa Un Lavoro D’ufficio Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F4BC
🧑🏽‍💼,Persona Che Fa Un Lavoro D’ufficio Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F4BC
🧑🏾‍💼,Persona Che Fa Un Lavoro D’ufficio Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F4BC
🧑🏿‍💼,Persona Che Fa Un Lavoro D’ufficio Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F4BC
👨‍💼,Impiegato,U+1F468 U+200D U+1F4BC
👨🏻‍💼,Impiegato Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F4BC
👨🏼‍💼,Impiegato Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F4BC
👨🏽‍💼,Impiegato Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F4BC
👨🏾‍💼,Impiegato Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F4BC
👨🏿‍💼,Impiegato Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F4BC
👩‍💼,Impiegata,U+1F469 U+200D U+1F4BC
👩🏻‍💼,Impiegata Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F4BC
👩🏼‍💼,Impiegata Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F4BC
👩🏽‍💼,Impiegata Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F4BC
👩🏾‍💼,Impiegata Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F4BC
👩🏿‍💼,Impiegata Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F4BC
🧑‍🔬,Persona Che Lavora In Campo Scientifico,U+1F9D1 U+200D U+1F52C
🧑🏻‍🔬,Persona Che Lavora In Campo Scientifico Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F52C
🧑🏼‍🔬,Persona Che Lavora In Campo Scientifico Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F52C
🧑🏽‍🔬,Persona Che Lavora In Campo Scientifico Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F52C
🧑🏾‍🔬,Persona Che Lavora In Campo Scientifico Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F52C
🧑🏿‍🔬,Persona Che Lavora In Campo Scientifico Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F52C
👨‍🔬,Scienziato,U+1F468 U+200D U+1F52C
👨🏻‍🔬,Scienziato Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F52C
👨🏼‍🔬,Scienziato Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F52C
👨🏽‍🔬,Scienziato Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F52C
👨🏾‍🔬,Scienziato Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F52C
👨🏿‍🔬,Scienziato Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F52C
👩‍🔬,Scienziata,U+1F469 U+200D U+1F52C
👩🏻‍🔬,Scienziata Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F52C
👩🏼‍🔬,Scienziata Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F52C
👩🏽‍🔬,Scienziata Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F52C
👩🏾‍🔬,Scienziata Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F52C
👩🏿‍🔬,Scienziata Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F52C
🧑‍💻,Persona Esperta Di Tecnologia,U+1F9D1 U+200D U+1F4BB
🧑🏻‍💻,Persona Esperta Di Tecnologia Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F4BB
🧑🏼‍💻,Persona Esperta Di Tecnologia Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F4BB
🧑🏽‍💻,Persona Esperta Di Tecnologia Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F4BB
🧑🏾‍💻,Persona Esperta Di Tecnologia Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F4BB
🧑🏿‍💻,Persona Esperta Di Tecnologia Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F4BB
👨‍💻,Tecnologo,U+1F468 U+200D U+1F4BB
👨🏻‍💻,Tecnologo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F4BB
👨🏼‍💻,Tecnologo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F4BB
👨🏽‍💻,Tecnologo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F4BB
👨🏾‍💻,Tecnologo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F4BB
👨🏿‍💻,Tecnologo Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F4BB
👩‍💻,Tecnologa,U+1F469 U+200D U+1F4BB
👩🏻‍💻,Tecnologa Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F4BB
👩🏼‍💻,Tecnologa Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F4BB
👩🏽‍💻,Tecnologa Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F4BB
👩🏾‍💻,Tecnologa Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F4BB
👩🏿‍💻,Tecnologa Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F4BB
🧑‍🎤,Cantante,U+1F9D1 U+200D U+1F3A4
🧑🏻‍🎤,Cantante Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F3A4
🧑🏼‍🎤,Cantante Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F3A4
🧑🏽‍🎤,Cantante Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F3A4
🧑🏾‍🎤,Cantante Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F3A4
🧑🏿‍🎤,Cantante Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F3A4
👨‍🎤,Cantante Uomo,U+1F468 U+200D U+1F3A4
👨🏻‍🎤,Cantante Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F3A4
👨🏼‍🎤,Cantante Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F3A4
👨🏽‍🎤,Cantante Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F3A4
👨🏾‍🎤,Cantante Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F3A4
👨🏿‍🎤,Cantante Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F3A4
👩‍🎤,Cantante Donna,U+1F469 U+200D U+1F3A4
👩🏻‍🎤,Cantante Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F3A4
👩🏼‍🎤,Cantante Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F3A4
👩🏽‍🎤,Cantante Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F3A4
👩🏾‍🎤,Cantante Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F3A4
👩🏿‍🎤,Cantante Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F3A4
🧑‍🎨,Artista,U+1F9D1 U+200D U+1F3A8
🧑🏻‍🎨,Artista Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F3A8
🧑🏼‍🎨,Artista Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F3A8
🧑🏽‍🎨,Artista Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F3A8
🧑🏾‍🎨,Artista Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F3A8
🧑🏿‍🎨,Artista Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F3A8
👨‍🎨,Artista Uomo,U+1F468 U+200D U+1F3A8
👨🏻‍🎨,Artista Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F3A8
👨🏼‍🎨,Artista Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F3A8
👨🏽‍🎨,Artista Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F3A8
👨🏾‍🎨,Artista Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F3A8
👨🏿‍🎨,Artista Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F3A8
👩‍🎨,Artista Donna,U+1F469 U+200D U+1F3A8
👩🏻‍🎨,Artista Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F3A8
👩🏼‍🎨,Artista Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F3A8
👩🏽‍🎨,Artista Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F3A8
👩🏾‍🎨,Artista Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F3A8
👩🏿‍🎨,Artista Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F3A8
🧑‍✈️,Pilota,U+1F9D1 U+200D U+2708 U+FE0F
🧑🏻‍✈️,Pilota Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+2708 U+FE0F
🧑🏼‍✈️,Pilota Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+2708 U+FE0F
🧑🏽‍✈️,Pilota Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+2708 U+FE0F
🧑🏾‍✈️,Pilota Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+2708 U+FE0F
🧑🏿‍✈️,Pilota Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+2708 U+FE0F
👨‍✈️,Pilota Uomo,U+1F468 U+200D U+2708 U+FE0F
👨🏻‍✈️,Pilota Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+2708 U+FE0F
👨🏼‍✈️,Pilota Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+2708 U+FE0F
👨🏽‍✈️,Pilota Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+2708 U+FE0F
👨🏾‍✈️,Pilota Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+2708 U+FE0F
👨🏿‍✈️,Pilota Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+2708 U+FE0F
👩‍✈️,Pilota Donna,U+1F469 U+200D U+2708 U+FE0F
👩🏻‍✈️,Pilota Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+2708 U+FE0F
👩🏼‍✈️,Pilota Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+2708 U+FE0F
👩🏽‍✈️,Pilota Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+2708 U+FE0F
👩🏾‍✈️,Pilota Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+2708 U+FE0F
👩🏿‍✈️,Pilota Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+2708 U+FE0F
🧑‍🚀,Astronauta,U+1F9D1 U+200D U+1F680
🧑🏻‍🚀,Astronauta Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F680
🧑🏼‍🚀,Astronauta Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F680
🧑🏽‍🚀,Astronauta Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F680
🧑🏾‍🚀,Astronauta Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F680
🧑🏿‍🚀,Astronauta Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F680
👨‍🚀,Astronauta Uomo,U+1F468 U+200D U+1F680
👨🏻‍🚀,Astronauta Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F680
👨🏼‍🚀,Astronauta Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F680
👨🏽‍🚀,Astronauta Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F680
👨🏾‍🚀,Astronauta Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F680
👨🏿‍🚀,Astronauta Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F680
👩‍🚀,Astronauta Donna,U+1F469 U+200D U+1F680
👩🏻‍🚀,Astronauta Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F680
👩🏼‍🚀,Astronauta Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F680
👩🏽‍🚀,Astronauta Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F680
👩🏾‍🚀,Astronauta Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F680
👩🏿‍🚀,Astronauta Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F680
🧑‍🚒,Pompiere,U+1F9D1 U+200D U+1F692
🧑🏻‍🚒,Pompiere Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F692
🧑🏼‍🚒,Pompiere Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F692
🧑🏽‍🚒,Pompiere Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F692
🧑🏾‍🚒,Pompiere Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F692
🧑🏿‍🚒,Pompiere Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F692
👨‍🚒,Pompiere Uomo,U+1F468 U+200D U+1F692
👨🏻‍🚒,Pompiere Uomo Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F692
👨🏼‍🚒,Pompiere Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F692
👨🏽‍🚒,Pompiere Uomo Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F692
👨🏾‍🚒,Pompiere Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F692
👨🏿‍🚒,Pompiere Uomo Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F692
👩‍🚒,Pompiere Donna,U+1F469 U+200D U+1F692
👩🏻‍🚒,Pompiere Donna Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F692
👩🏼‍🚒,Pompiere Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F692
👩🏽‍🚒,Pompiere Donna Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F692
👩🏾‍🚒,Pompiere Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F692
👩🏿‍🚒,Pompiere Donna Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F692
👮,Agente Di Polizia,U+1F46E
👮🏻,Agente Di Polizia Carnagione Chiara,U+1F46E U+1F3FB
👮🏼,Agente Di Polizia Carnagione Abbastanza Chiara,U+1F46E U+1F3FC
👮🏽,Agente Di Polizia Carnagione Olivastra,U+1F46E U+1F3FD
👮🏾,Agente Di Polizia Carnagione Abbastanza Scura,U+1F46E U+1F3FE
👮🏿,Agente Di Polizia Carnagione Scura,U+1F46E U+1F3FF
👮‍♂️,Poliziotto Uomo,U+1F46E U+200D U+2642 U+FE0F
👮🏻‍♂️,Poliziotto Uomo Carnagione Chiara,U+1F46E U+1F3FB U+200D U+2642 U+FE0F
👮🏼‍♂️,Poliziotto Uomo Carnagione Abbastanza Chiara,U+1F46E U+1F3FC U+200D U+2642 U+FE0F
👮🏽‍♂️,Poliziotto Uomo Carnagione Olivastra,U+1F46E U+1F3FD U+200D U+2642 U+FE0F
👮🏾‍♂️,Poliziotto Uomo Carnagione Abbastanza Scura,U+1F46E U+1F3FE U+200D U+2642 U+FE0F
👮🏿‍♂️,Poliziotto Uomo Carnagione Scura,U+1F46E U+1F3FF U+200D U+2642 U+FE0F
👮‍♀️,Poliziotta,U+1F46E U+200D U+2640 U+FE0F
👮🏻‍♀️,Poliziotta Carnagione Chiara,U+1F46E U+1F3FB U+200D U+2640 U+FE0F
👮🏼‍♀️,Poliziotta Carnagione Abbastanza Chiara,U+1F46E U+1F3FC U+200D U+2640 U+FE0F
👮🏽‍♀️,Poliziotta Carnagione Olivastra,U+1F46E U+1F3FD U+200D U+2640 U+FE0F
👮🏾‍♀️,Poliziotta Carnagione Abbastanza Scura,U+1F46E U+1F3FE U+200D U+2640 U+FE0F
👮🏿‍♀️,Poliziotta Carnagione Scura,U+1F46E U+1F3FF U+200D U+2640 U+FE0F
🕵️,Detective,U+1F575 U+FE0F
🕵🏻,Detective Carnagione Chiara,U+1F575 U+1F3FB
🕵🏼,Detective Carnagione Abbastanza Chiara,U+1F575 U+1F3FC
🕵🏽,Detective Carnagione Olivastra,U+1F575 U+1F3FD
🕵🏾,Detective Carnagione Abbastanza Scura,U+1F575 U+1F3FE
🕵🏿,Detective Carnagione Scura,U+1F575 U+1F3FF
